Delta_E_AB_AB,BSSE_A,BSSE_B,x,y,z
0.025139723723796692,0.0008961224400820811,0.0008961385685353207,1.75,0.25,1.0
0.014270454319529335,0.0006155361279809313,0.0006155094691848717,1.75,0.25,1.25
0.007690056028252457,0.0004066924853418641,0.00040671526696201,1.75,0.25,1.5
0.004155010332013376,0.00029098360396062617,0.0002909814095062302,1.75,0.25,1.75
0.059231792089505575,0.0016123509196575014,0.001612366153509015,1.75,0.5,0.25
0.047562277349129545,0.001374658760809666,0.0013746459325005844,1.75,0.5,0.5
0.03350987732919464,0.0010861212382593521,0.0010861111295525916,1.75,0.5,0.75
0.02109068182855367,0.0007994362982657321,0.0007994514528348873,1.75,0.5,1.0
0.012176853742957405,0.0005499133422404157,0.0005498833169639283,1.75,0.5,1.25
0.006701907581017963,0.00037005457352279336,0.00037006071620737657,1.75,0.5,1.5
0.0037170969681454835,0.00027491449846195337,0.00027493554603097436,1.75,0.5,1.75
0.04221040150108024,0.0013614052933093035,0.0013614123852931925,1.75,0.75,0.25
0.03437616892109929,0.0011475953912736259,0.0011475580918585138,1.75,0.75,0.5
0.02466734642764834,0.00089866764982105,0.0008986891222093618,1.75,0.75,0.75
0.01588403864468546,0.0006589979043667427,0.0006590117475866464,1.75,0.75,1.0
0.009433796431110864,0.00045797133546443547,0.00045793953678696653,1.75,0.75,1.25
0.005380259344889282,0.00032158936224391255,0.0003215634825721736,1.75,0.75,1.5
0.003116369906365435,0.00025407770114327377,0.00025407729607707097,1.75,0.75,1.75
0.026733201808156082,0.001055786178014273,0.001055786917575574,1.75,1.0,0.25
0.022218299793095753,0.0008779183142024749,0.0008779437171710924,1.75,1.0,0.5
0.01635325040095381,0.0006828775288454381,0.0006828903881057613,1.75,1.0,0.75
0.010871488205225432,0.0005035925323682022,0.0005036051884701465,1.75,1.0,1.0
0.006721647835320255,0.00036264187235701684,0.00036264552429088326,1.75,1.0,1.25
0.004032056506090953,0.00027511971225635534,0.00027507444242758083,1.75,1.0,1.5
0.002479086246083284,0.00023300471316645144,0.00023303639974869839,1.75,1.0,1.75
0.015167910098412563,0.0007466588938456198,0.000746659626059909,1.75,1.25,0.25
0.012981678221166248,0.000614244050964885,0.0006142468355818664,1.75,1.25,0.5
0.009889396410216023,0.0004809642099985467,0.00048098332655399645,1.75,1.25,0.75
0.006860985731236724,0.000367677314585535,0.0003676720705811931,1.75,1.25,1.0
0.004475407662781095,0.0002867394092760378,0.00028675121930632486,1.75,1.25,1.25
0.0028665275648478428,0.00023957038716559964,0.0002395810824111777,1.75,1.25,1.5
0.0018980636892678149,0.00021262848198944084,0.00021259951940066912,1.75,1.25,1.75
0.007684511275300565,0.0004933543100662519,0.0004933079346471914,1.75,1.5,0.25
0.006888478830887834,0.00040895020421771733,0.00040896061432249553,1.75,1.5,0.5
