Delta_E_AB_AB,BSSE_A,BSSE_B,x,y,z
0.0012202498476057144,0.00047925066937182237,0.0004280843090640474,0.75,2.75,1.5
0.0005625002066125262,0.00039616089378569086,0.0003543712307561009,0.75,2.75,1.75
0.0584681400620326,0.0019044544800834728,0.0024304237934131834,1.0,2.0,0.25
0.04415336776148138,0.001692039421882896,0.0022501426383456646,1.0,2.0,0.5
0.028488986405605488,0.0014227176283867493,0.0019228890964768652,1.0,2.0,0.75
0.016084582563308913,0.001168935898292034,0.0015153394678151244,1.0,2.0,1.0
0.008035628120055094,0.0009552784348443311,0.0011283090005207441,1.0,2.0,1.25
0.0035107123714510635,0.0007756142541524014,0.0008239872339146359,1.0,2.0,1.5
0.0012813370368576216,0.0006224873759776983,0.0006103577090925683,1.0,2.0,1.75
0.028365913462337744,0.0013727634597842098,0.0016594594238341642,1.0,2.25,0.25
0.02174394160103077,0.0012525953890047958,0.0015272535929682363,1.0,2.25,0.5
0.01417671160210432,0.0010916279883588231,0.001304127424916146,1.0,2.25,0.75
0.007921512595515878,0.0009293692256733266,0.0010441283961313275,1.0,2.25,1.0
0.0037361721258406533,0.0007845022923191891,0.0008105280234644852,1.0,2.25,1.25
0.0013728578643679157,0.0006544264810912637,0.0006281260131544286,1.0,2.25,1.5
0.0002607164002057516,0.0005370955511523334,0.0004910756851046472,1.0,2.25,1.75
0.014089765587968373,0.0009879110275647918,0.0011173033070690508,1.0,2.5,0.25
0.011015510172953213,0.0009255734093187584,0.0010193654878065672,1.0,2.5,0.5
0.0073450119613198694,0.0008378768151402483,0.0008804412455702959,1.0,2.5,0.75
0.0041582753794671135,0.0007408594451447925,0.0007350139603232719,1.0,2.5,1.0
0.0019312989402493486,0.000642434653144619,0.0006062772745423217,1.0,2.5,1.25
0.0006377211135770722,0.0005441741146654522,0.0004956416067756209,1.0,2.5,1.5
2.861220262673214e-05,0.00044987176151778385,0.0003987732690404755,1.0,2.5,1.75
0.007534503701577933,0.0007349634233406732,0.0007945283847874407,1.0,2.75,0.25
0.006056033909672465,0.0007048884735780803,0.0007219413953976073,1.0,2.75,0.5
0.004218395273369424,0.0006549871676497787,0.000636343334178946,1.0,2.75,0.75
0.0025395021134215767,0.0005910018412293994,0.0005534723777032013,1.0,2.75,1.0
0.0012958390802708664,0.000517741923275139,0.00047368739092235046,1.0,2.75,1.25
0.0005242617483673939,0.00044014942943704227,0.00039561284707190225,1.0,2.75,1.5
0.0001301318657738193,0.0003646023208574434,0.00032421835250318054,1.0,2.75,1.75
0.030237789624990796,0.0014407244694183419,0.0020621188873519714,1.25,2.0,0.25
0.022821140241120474,0.001313333835355479,0.0019142349458149965,1.25,2.0,0.5
0.014483224096323966,0.0011530817973408602,0.0016468661802520046,1.25,2.0,0.75
0.007743045858006781,0.0009868056908999279,0.0013180971823487653,1.25,2.0,1.0
0.0033493856360848895,0.000825693221685242,0.0010034165102013048,1.25,2.0,1.25
0.0009439836702114235,0.0006780720592729494,0.0007442350800772601,1.25,2.0,1.5
-0.00012579673590096263,0.0005547174876170402,0.0005552585969326174,1.25,2.0,1.75
0.01436902928837469,0.0010810266682597103,0.0014510465480412904,1.25,2.25,0.25
0.01085522773429659,0.0010097985244499341,0.001337367242214782,1.25,2.25,0.5
0.006769431950672811,0.0009101388549765943,0.0011553391809826508,1.25,2.25,0.75
0.003354866360524511,0.0007989632607063868,0.00094355948692737,1.25,2.25,1.0
0.0010897322146234956,0.0006861948562288944,0.0007424027345592776,1.25,2.25,1.25
-0.00011938845676695564,0.0005780363051428594,0.0005746079103801094,1.25,2.25,1.5
-0.0005850930381541275,0.00048044739114061485,0.0004450005395710832,1.25,2.25,1.75
